Canonical_Smiles,Inhibition 1,Inhibition 2,Inhibition 3
O=S(=O)(Cl)Cl,2.5957,1.8088,2.7966
CCCC(CC)CCCCCCCN,53.4416,35.1586,27.6099
CCn1c2ccccc2c2cc(N)ccc21.Cl,77.3115,50.0275,57.4119
O=C1CCCO1,10.0105,6.3643,0.053
COc1ccc(N)cc1N.O=S(=O)(O)O,43.3493,23.0898,29.6937
Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.[Na+],1.6096,1.1034,2.5394
Cl.NNc1ccc(C(=O)O)cc1,11.5043,5.845,6.7449
O=C(O)c1ccncc1,16.4109,1.5213,5.6924
Nc1nc(N)nc(N)n1,3.7423,0.2369,1.2603
COc1cccc(O)c1O,3.5797,0.0849,14.6456
CC(O)c1ccccc1,3.8704,0.7003,2.0495
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,67.9504,49.7269,43.4922
Oc1ccc2ccccc2c1N=Nc1ccccc1,44.712,20.5686,16.7132
Cl.Nc1ccc2cc3ccc(N)cc3nc2c1,47.445,33.9514,34.2321
Cc1ccc(N)c(C)c1.Cl,12.5041,10.8565,10.5611
F[B-](F)(F)F.[Na+],2.4343,1.2533,2.9162
CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,7.3535,1.1228,4.0443
Oc1cc(O)c(Cl)cc1Cl,14.9127,2.3773,6.5234
CCCCCCC#N,1.7553,2.3335,0.0242
CC(C)CC#N,3.3681,1.3638,1.135
Cc1ccc(O)c(C(=O)c2ccccc2)c1,14.3397,3.3895,5.0767
COc1ccc(C(=O)c2cccc(O)c2)c(OC)c1,27.0869,9.1983,17.8553
O=C(c1ccc(O)cc1)c1ccc(O)cc1,4.7927,4.6585,7.3862
Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O,77.7422,41.131,50.8993
Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1,50.5856,18.6902,27.7659
Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1,34.9209,14.7852,9.7919
OC[C@@H](O)[C@@H](O)CO,5.2399,0.2117,0.3784
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,1.6966,0.961,1.4758
Cc1ccc2c(ccc3ccccc32)c1,6.9623,2.8145,2.7193
Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,19.2921,15.3021,5.4547
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],88.8793,84.6507,83.1642
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])C(F)(F)F,72.1452,59.582,63.2884
CCCCn1cc[n+](C)c1.N#CN=C=[N-],9.9827,0.9619,1.8377
CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,11.9712,6.4176,2.8197
C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,8.4151,12.6697,0.4278
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,87.3943,80.3154,81.7386
CN(C)c1ccc(N(C)C)cc1,3.2661,8.6807,0.1038
Oc1cc(Cl)cc(Cl)c1Cl,21.6673,4.0348,12.3151
CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O,19.7531,17.9221,5.2926
CCOc1ccc2nc(N)sc2c1,19.4604,9.8186,10.8911
CC(C)N(C(=O)SC/C(Cl)=C/Cl)C(C)C,19.1343,17.1913,11.0062
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,59.8474,64.723,59.279
C=C1C(C)(C)[C@@]2(Cl)C(Cl)[C@]1(Cl)C(Cl)(Cl)C2(Cl)Cl,82.5418,73.6726,72.9366
CC(=O)O[Si](C)(OC(C)=O)OC(C)=O,62.2802,47.6145,53.5568
NNC(=O)c1cccnc1,77.6012,71.4614,73.8899
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,46.053,43.8132,48.0436
